Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,Germany,DEU,Consumer Goods,No,large,DE000A1EWWW0,4031976,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe,United States of America,USA,Technology,No,large,US00724F1012,2008154,01/12/2024,18/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Auto Parts,United States of America,USA,Consumer Services,No,small,US00751Y1064,2822019,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Draine Systems,United States of America,USA,Industrials,No,small,US00790R1041,BP7RS59,01/12/2024,15/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Micro Dev,United States of America,USA,Technology,No,large,US0079031078,2007849,01/12/2024,19/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aena SME SA,Spain,ESP,Industrials,No,large,ES0105046009,BVRZ8L1,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeon,Japan,JPN,Consumer Services,No,large,JP3388200002,6480048,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/12/2024,04/07/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agilent Technologies,United States of America,USA,Industrials,No,large,US00846U1016,2520153,01/12/2024,18/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnico Eagle Mines,Canada,CAN,Basic Materials,No,medium,CA0084741085,2009823,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Bank of China,China,CHN,Financials,No,large,CNE100000RJ0,B620Y41,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahold Delhaize,Netherlands,NLD,Consumer Services,No,large,NL0011794037,BD0Q398,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aier Eye Hospital Group,China,CHN,Health Care,No,large,CNE100000GR6,B4W4ZY6,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Arabia,United Arab Emirates,ARE,Airlines,No,medium,AEA003001012,B23DL40,01/12/2024,30/04/2024,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (gCO2 / RTK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/12/2024,22/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,1.5 Degrees,International Pledges,2030,Not Aligned,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,922.3256727,911.1737246,873.5347455,844.8839503,816.9883265,834.5262635,1116.306025,983.2285441,822.8766107,768.2910824,713.7055541,659.1200258,604.5344975,549.9489692,495.3634408,440.7779125,386.1923842,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's targets aim to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's passenger activity grows according to the passenger aviation activity growth rate projected in the IEA's 2020 Energy Technology Perspective (ETP) and that its freight activity grows according to ICAO post-COIVD projections. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Air China,China,CHN,Airlines,No,large,CNE1000001S0;CNE000001NN0,B04KNF1;B1B8WM5;BP3R4G6,01/12/2024,15/01/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,Not Aligned,,Not Aligned,Not Aligned,,1.5 Degrees,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,839.5017165,844.3964008,806.5511641,814.365531,814.0816858,863.2599859,1074.911466,1068.646119,1099.275508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/12/2024,29/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Airlines_01/10/2024,,1.5 Degrees,,Below 2 Degrees,International Pledges,2030,1.5 Degrees,,,International Pledges,International Pledges,2030,2023,Carbon intensity (gCO2 / RTK),,824.0,827.5007969,822.3321646,793.9157181,774.0810998,775.9594416,862.1241794,869.4436297,788.492301,793.520612,757.7564688,721.9923255,686.2281822,650.464039,614.6998957,578.9357524,543.1716091,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity which have been included. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air New Zealand,New Zealand,NZL,Airlines,No,medium,NZAIRE0001S2,6426484,01/12/2024,12/02/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2050,1.5 Degrees,,,1.5 Degrees,1.5 Degrees,2030;2050,2022,Carbon intensity (gCO2 / RTK),,,,,,,660.2130942,850.0618026,827.5669313,602.7591218,586.0906703,569.4222188,552.7537674,536.0853159,519.4168644,502.7484129,486.0799615,469.41151,446.2137661,423.0160222,399.8182782,376.6205343,353.4227904,330.2250465,307.0273026,283.8295587,260.6318148,237.4340708,214.2363269,191.038583,167.8408391,144.6430952,121.4453513,98.24760736,75.04986344,51.85211953,28.65437561,5.456631698,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s passenger activity grows according to the passenger aviation activity growth rate projected in the IEA’s 2020 Energy Technology Perspective (ETP) and that its freight activity grows according to ICAO post-COVID projections. TPI also assumes that the company’s well-to-wake emissions intensity reduction target could be applied to Scope 1 jet fuel emissions proportionately. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Water,Japan,JPN,Chemicals,No,medium,JP3160670000,6441465,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbnb,United States of America,USA,Consumer Services,No,large,US0090661010,BMGYYH4,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,France,FRA,Industrials,Yes,large,NL0000235190,4012250,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airports of Thailand,Thailand,THA,Industrials,No,large,TH0765010Z08,BDFLHW9,01/12/2024,05/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,No,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisin,Japan,JPN,Consumer Goods,No,large,JP3102000001,6010702,01/12/2024,18/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajinomoto,Japan,JPN,Food Producers,No,large,JP3119600009,6010906,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,Not Aligned,,Not Aligned,1.5 Degrees,2030;2050,Not Aligned,,,Not Aligned,1.5 Degrees,2030;2050,2022,Carbon intensity (tCO2e/tonnes agricultural input),,,,2.245248788,2.316627003,2.2423769,2.549746022,2.939238328,2.849657605,6.10857272,5.876847459,5.645122199,5.413396938,5.181671678,4.949946418,4.718221157,4.486495897,4.254770636,4.042032104,3.829293573,3.616555041,3.403816509,3.191077977,2.978339445,2.765600914,2.552862382,2.34012385,2.127385318,1.914646786,1.701908254,1.489169723,1.276431191,1.063692659,0.850954127,0.638215595,0.425477064,0.212738532,0.0,"The company has set targets to reduce its absolute emissions and emissions intensity. To calculate this company’s targeted emissions intensity, TPI has assumed that the used agricultural inputs used by the company grow according to the global agricultural input production forecasts from several Integrated Assessment Models under a Business-as-Usual scenario. Based on the company's methodology and emissions factors database used, TPI understands that agricultural and Land Use, Land Use Change, and Forestry (LULUCF) GHG emissions are included in the reported Scope 3 Category 1 emissions and therefore, also included in the company's Scope 3 emissions reduction targets."
Akamai Technologies,United States of America,USA,Technology,No,medium,US00971T1016,2507457,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aker BP,Norway,NOR,Oil & Gas,No,large,NO0010345853,B1L95G3,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Rajhi Banking & Investment Corp,Saudi Arabia,SAU,Financials,No,large,SA0007879113,B12LZH9,01/12/2024,05/02/2024,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2024,22/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,Not Aligned,Not Aligned,,1.5 Degrees,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,953.2264177,938.1744423,889.7904023,931.4836106,925.2048377,925.6841928,1317.334076,1003.00806,880.5933587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology by converting the units but not re-calculated. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology (which excludes offsets in the aviation sector). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Albemarle,United States of America,USA,Chemicals,No,medium,US0126531013,2046853,01/12/2024,23/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertsons Companies,United States of America,USA,Consumer Services,No,small,US0130911037,BYNQ369,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/12/2024,22/02/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,1.5 Degrees,,Below 2 Degrees,National Pledges,2025;2030;2050,1.5 Degrees,,,Below 2 Degrees,1.5 Degrees,2025;2030;2050,2022,Carbon intensity (tCO2e / t aluminium),5.945136332,6.023605984,6.313077036,5.472480703,5.196978879,5.691953647,6.48032841,5.763222548,5.070722956,5.033924528,4.935700117,4.837475706,4.739251295,4.469459673,4.199668051,3.929876429,3.660084807,3.390293185,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s proportion of primary and secondary aluminium production also remains constant from 2022 levels. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Alcon,Switzerland,CHE,Health Care,No,large,CH0432492467,BJT1GR5,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria Real Estate Equity,United States of America,USA,Financials,No,medium,US0152711091,2009210,01/12/2024,18/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Laval,Sweden,SWE,Industrials,No,medium,SE0000695876,7332687,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa SAB de CV,Mexico,MEX,Industrials,No,medium,MXP000511016,2043423,01/12/2024,05/02/2024,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/12/2024,05/01/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,2050,1.5 Degrees,,,Below 2 Degrees,Below 2 Degrees,2050,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,0.33,0.28,0.28,0.21,0.2,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.0,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Alibaba,China,CHN,Consumer Services,No,large,US01609W1027,BP41ZD1,01/12/2024,04/05/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Align Technology,United States of America,USA,Health Care,No,medium,US0162551016,2679204,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimentation Couche Tard,Canada,CAN,Consumer Services,No,large,CA01626P3043,#N/A,01/12/2024,03/02/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegiant Travel,United States of America,USA,Airlines,No,small,US01748X1028,B15M2C3,01/12/2024,16/04/2024,1,unchanged,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,Not Aligned,,Not Aligned,Not Aligned,,,,,,,,2021,Carbon intensity (gCO2 / RTK),,,,,,,,,1085.730672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to the TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Allegion,United States of America,USA,Industrials,No,medium,IE00BFRT3W74,BFRT3W7,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/12/2024,04/01/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,National Pledges,Below 2 Degrees,2030;2040;2050,Not Aligned,,,National Pledges,Below 2 Degrees,2030;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.84,0.84,0.74,0.62,0.56,0.61,0.52,0.5,0.49,0.47,0.46,0.44,0.43,0.41,0.4,0.37,0.34,0.32,0.29,0.26,0.24,0.21,0.18,0.16,0.13,0.12,0.1,0.09,0.08,0.07,0.05,0.04,0.03,0.01,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s electricity generation grows according to the United States of America electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Allianz,Germany,DEU,Financials,No,large,DE0008404005,5231485,01/12/2024,05/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Transmission Holdings,United States of America,USA,Industrials,No,small,US01973R1014,B4PZ892,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allstate Corp,United States of America,USA,Financials,No,medium,US0200021014,2019952,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
